"number","opened_at","closed_at","priority","state","assignment_group","short_description","location.country","location.name","location.u_it_brm","location.u_it_operations_manager","location.u_region","location.u_site_name","u_resolution_code","u_root_cause","u_root_cause_category","u_root_cause_code","u_root_cause_subcategory","u_rca_required","universal_request.ref_problem_task.u_rca_delivered","universal_request.ref_problem_task.u_rca_delivered_date"
"PRB0050981","2025-09-24 02:07:24","2025-10-06 13:52:42","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Users in Kraków cannot access \\PLKRAP-FP01\","Poland","10682","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Krakow - Poland","Resolved - No Action Taken","","","","","No","false",""
"PRB0050983","2025-09-24 02:34:32","2025-11-28 08:55:32","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Users in Kraków cannot access \\PLKRAP-FP01\","Poland","10682","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Krakow - Poland","Resolved - No Action Taken","Due to scheduled power down activity performed by PHINIA, Hosting and Network teams were unable to perform further troubleshooting also we cannot reproduce such type of issue in production environment. However root cause is unknow.","Root Cause Not Found","","Sub Root Cause Not Found","Yes","false",""
"PRB0050992","2025-10-09 09:14:30","2025-11-10 04:12:49","2 - High","Pending Change","CFS_PROBLEM_MANAGER"," ""The server Turkey, Izmir is not accessible."" - P2","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","","Application","","Connectivity","Yes","false",""
"PRB0050993","2025-10-09 11:58:22","2025-10-09 12:02:14","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Multiple network issues , SAP dropping out and connectivity issues at - Warwick - 10610","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","Cleared Stale Entries on Zscaler Branch connectors to restore connectivity between Amsterdam WLC and WAPs
Wireless connectivity issue got resolved once WAPs registered to Amsterdam WLC
Additionally, We have observed issue from newly deployed Cisco ISRs for DMVPN so configuration has been updated to improve wireless connectivity performance.
","Network","","Connectivity","Yes","false",""
"PRB0050997","2025-10-14 10:51:13","2025-11-13 11:18:45","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Internet Connectivity dropping out due to Network Flap","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","Summary of the Case:
Multiple disruptions across sites, especially Warwick: 
•	SAP and Wi-Fi instability.
•	DMVPN tunnel flaps.
•	LAN/Wi-Fi issues.
•	Access Point flaps.
RCA – 
ISP1 dropouts did not trigger proper failover to ISP2, affecting Zscaler connectivity and LAN performance. 
Interfering scripts impacted NAT behaviour and session handling, causing false tunnel down events.","Network","","Connectivity","Yes","false",""
"PRB0051004","2025-10-28 06:54:18","2025-10-28 07:18:13","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Switch down 282-UK-SWA24-L2 ","United Kingdom","00282","Hill, Brian","Proyer, Damon","EMEA","Stonehouse - United Kingdom","Resolved - Root Cause Removed","","Root cause not required","","Root cause not required","No","false",""
"PRB0051005","2025-10-30 03:51:25","2025-11-26 05:46:03","2 - High","Pending Change","CFS_PROBLEM_MANAGER","RCA_INC7635801 - Network Connectivity Issues: PHINIA SSID Unavailable & Performance Lag - 00269 - Izmir - Turkey","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","Key Observations:
•	No configuration changes were made during troubleshooting; connectivity restored on its own initially.
•	Recent migration of Izmir and SLP sites from Miami vCenter to Amsterdam vCenter (MS15), including WLC and VMs (Change ID: CHG0530105).
•	Authentication errors identified; stale Zscaler entries removed.
•	ISP involvement suspected of external validation issues.
Root Cause:
Intermittent wireless connectivity failures due to stale Zscaler entries and transient authentication issues, compounded by recent infrastructure migration.
","Network","","Connectivity","Yes","false",""
"PRB0051007","2025-11-03 10:15:41","","2 - High","Open","CFS_PROBLEM_MANAGER","P2 - Issues with ZSCALER and AD ","Romania","10657","Serkhoshian, Gary","Cazan, Anca","EMEA","Bucharest - Romania","","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0051017","2025-11-13 11:31:39","2025-11-26 05:40:30","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-Internet issue in Krakow GBS 10682 - urgent ","Poland","10682","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Krakow - Poland","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0051018","2025-11-13 11:59:00","2025-11-26 05:11:14","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Wi-Fi issue","Poland","20030","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Rzeszow - Poland","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0051020","2025-11-21 03:45:36","2025-11-26 08:32:12","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Issue with internet in Krakow TC 20028 ","Poland","20028","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Technical Center Krakow","Resolved - Root Cause Removed","•	AT&T MPLS link issue, leading to loss of primary and fallback to secondary paths ANIRA.
•	This caused packet drops and loss connectivity from the core switch. 
•	Secondary link indicated fallback routing due to MPLS failure.","Network","","Capacity/ Performance","Yes","false",""
"PRB0051023","2025-11-27 12:29:28","2025-12-05 12:41:34","2 - High","Pending Change","CFS_PROBLEM_MANAGER"," Multiple network issues across UK site ","United Kingdom","00274","Marshall, Daren","Proyer, Damon","EMEA","Gillingham - United Kingdom","Deferred","","Network","","Connectivity","Yes","false",""
"PRB0051027","2025-12-04 07:13:09","2025-12-09 03:46:00","2 - High","Pending Change","CFS_PROBLEM_MANAGER","ONGOING | NOTICE | PHINIA | IMPACT: DLPHISFTP01R, DLPHISFTP02R and DLPHISFTP03R, DLPHISAPPN1S  | OT Experiencing FTP Error when connecting to when Transferring ","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","The gxsadm user account password expired after 90 days as per the organisation's password policy. The account owner did not reset the password before expiry. ","Software","","Configuration","Yes","false",""
"PRB0051028","2025-12-09 13:38:53","2025-12-12 12:47:04","2 - High","Pending Change","CFS_PROBLEM_MANAGER","URGENT - (SAP PH1 025) reported Issues with outbound messages to Geodis (POL3PL)","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","","Application","","Configuration","Yes","false",""
"PRB0051029","2025-12-09 13:52:45","","2 - High","Open","CFS_PROBLEM_MANAGER","P2 - Network Issue - External Network is down","United Kingdom","00282","Hill, Brian","Proyer, Damon","EMEA","Stonehouse - United Kingdom","","","Network","","Connectivity","Yes","false",""
